record_id,source,item_label,category,material_family,material_keywords,weight_kg,weight_kg_filled,weight_imputed,width_cm,depth_cm,height_cm,volume_l,size_bin,weight_bin,missing_dimensions,missing_weight,missing_materials,url,product_url
70261131,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,plastic,edging,paper,foil,particleboard,plastic,edging,plastic,edging,melamine,foil,paper,foil,particleboard,paper,foil,fiberboard,acrylic,paint",19.70403648,19.70403648,False,60.01,24.13,180.02,260.676394826,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/gersby-bookcase-white__0251910_pe390723_s5.jpg,https://www.ikea.com/us/en/p/gersby-bookcase-white-70261131/
20436713,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,paper,foil,particleboard,paper,foil,plastic,edging,paper,foil,fiberboard,printed,acrylic,paint",16.215914,16.215914,False,49.85,25.08,160.02,200.06308476000004,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/baggebo-bookcase-white__0981552_pe815388_s5.jpg,https://www.ikea.com/us/en/p/baggebo-bookcase-white-20436713/
20323805,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,fiberboard,printed,acrylic,paint,fiberboard,paper,foil,plastic,edging,tempered,glass",28.52186496,28.52186496,False,80.01,29.84,201.93,482.107551912,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-with-glass-doors-dark-blue__0429309_pe584188_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-with-glass-doors-dark-blue-20323805/
s99581815,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",39.74373104,39.74373104,False,160.02,27.94,201.93,902.8207104840002,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-combination-brown-walnut-effect__1266281_pe928091_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-combination-brown-walnut-effect-s99581815/
40178591,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,melamine,foil,particleboard,paper,foil,paper,foil,paper,foil,melamine,foil,fiberboard,paper,foil",13.267566,13.267566,False,61.91,24.13,165.1,246.64095832999996,extra_large,medium,False,False,False,https://www.ikea.com/us/en/images/products/laiva-bookcase-black-brown__0644278_pe702556_s5.jpg,https://www.ikea.com/us/en/p/laiva-bookcase-black-brown-40178591/
50522040,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,paper,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",25.287754,25.287754,False,40.01,27.94,201.93,225.73338724200002,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-white__0644260_pe702536_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-white-50522040/
s19581517,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,paper,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",22.70681552,22.70681552,False,240.03,27.94,106.05,711.2177711100001,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-combination-white__0644497_pe702733_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-combination-white-s19581517/
s59483529,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,particleboard,paper,foil,fiberboard,paint,paper,foil,fiberboard,paper,foil,paper,foil,plastic,edging,plastic,edging,fiberboard,paper,foil,tempered,glass",39.43528848,39.43528848,False,160.02,29.84,201.93,964.215103824,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-oxberg-bookcase-comb-w-glass-doors-black-oak-effect__1099640_pe865834_s5.jpg,https://www.ikea.com/us/en/p/billy-oxberg-bookcase-comb-w-glass-doors-black-oak-effect-s59483529/
40415465,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"fiberboard,polyester,paint,particleboard,polyester,paint,plastic,edging",27.69632752,27.69632752,False,65.09,33.97,199.07,440.16513021099996,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/lommarp-bookcase-dark-blue-green__0739323_pe741690_s5.jpg,https://www.ikea.com/us/en/p/lommarp-bookcase-dark-blue-green-40415465/
90522043,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,paper,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",22.70681552,22.70681552,False,80.01,27.94,106.05,237.07259037000003,large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/billy-bookcase-white__0644780_pe702956_s5.jpg,https://www.ikea.com/us/en/p/billy-bookcase-white-90522043/
20520354,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"particleboard,paper,foil,plastic,edging,plastic,edging,particleboard,paper,foil,fiberboard,paint,paper,foil",29.42904896,29.42904896,False,60.01,37.47,140.02,314.845429494,large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/skruvby-bookcase-black-blue__1128172_pe876451_s5.jpg,https://www.ikea.com/us/en/p/skruvby-bookcase-black-blue-20520354/
50413507,IKEA,storage_organization_shelving_furniture_bookshelves_bookcases,storage organization shelving furniture bookshelves bookcases,mixed,"solid,pine,stain,clear,acrylic,lacquer,tempered,glass,solid,pine,fiberboard",28.3495,28.3495,False,89.85,37.15,196.85,657.071028375,extra_large,heavy,False,False,False,https://www.ikea.com/us/en/images/products/hemnes-glass-door-cabinet-with-3-drawers-white-stain-light-brown__0805255_pe769478_s5.jpg,https://www.ikea.com/us/en/p/hemnes-glass-door-cabinet-with-3-drawers-white-stain-light-brown-50413507/
